gene,degree_centrality,betweenness_centrality,clustering_coefficient,degree
TP53,1.0,0.1556193635319251,0.4802955665024631,29
BRCA1,0.8620689655172413,0.060345405142203185,0.5566666666666666,25
MYC,0.7586206896551724,0.030228402549831113,0.6363636363636364,22
CCND1,0.7241379310344828,0.027929063273890855,0.6285714285714286,21
PTEN,0.7241379310344828,0.023655371038375964,0.6714285714285714,21
ATM,0.7241379310344828,0.03621450388691768,0.6047619047619047,21
CDKN1A,0.6551724137931034,0.0169787348666659,0.7017543859649122,19
BCL2,0.6206896551724138,0.02661005866055127,0.6993464052287581,18
AKT1,0.5862068965517241,0.007296586145108311,0.8014705882352942,17
E2F1,0.5862068965517241,0.011468440563268146,0.7352941176470589,17
PARP1,0.5862068965517241,0.014494088970689956,0.7132352941176471,17
CASP3,0.5517241379310345,0.02209182784921701,0.675,16
BRCA2,0.5517241379310345,0.01715976620533271,0.6666666666666666,16
EGFR,0.5517241379310345,0.008905790432884027,0.7666666666666667,16
MDM2,0.5517241379310345,0.007793017737599018,0.775,16
CHEK2,0.48275862068965514,0.008313785284228633,0.7362637362637363,14
FOXO3,0.48275862068965514,0.008510431139741483,0.8021978021978022,14
TP53BP1,0.4482758620689655,0.008302056454765816,0.7435897435897436,13
RAD51,0.4482758620689655,0.006581339432324654,0.7692307692307693,13
KRAS,0.41379310344827586,0.0027430799906169364,0.8484848484848485,12
RB1,0.3793103448275862,0.003478274598964254,0.8,11
CDC25A,0.3793103448275862,0.007228379857690202,0.7090909090909091,11
MTOR,0.3793103448275862,0.0017300023457658925,0.8909090909090909,11
PIK3CA,0.3448275862068966,0.0011767925561029008,0.9111111111111111,10
ATRIP,0.3448275862068966,0.0013341543513957306,0.9111111111111111,10
MRE11,0.3448275862068966,0.0006157635467980296,0.9555555555555556,10
ATR,0.3448275862068966,0.0013341543513957306,0.9111111111111111,10
CCNE1,0.3103448275862069,0.0009500351864883885,0.9166666666666666,9
FASLG,0.1724137931034483,0.0006157635467980296,0.9,5
FAS,0.13793103448275862,0.0,1.0,4
